id,title,ICD9,ICD10
321556,Tardive dyskinesia,['333.8'],"['G240', 'g20']"
322177,Penile cancer,['187'],"['C60', 'c60']"
322197,Tension headache,"['307.8', '339.1']","['G442', 'g40']"
322553,Aneurysm,['442'],"['I72', 'i70']"
323069,Skeletal fluorosis,['733.9'],"['M851', 'm80']"
325877,Phantom limb,['353.6'],"['G546', 'g50', 'G547', 'g50']"
330350,Congenital hypothyroidism,['243'],"['E00', 'e00', 'E030', 'e00', 'E031', 'e00']"
330923,Cachexia,['799.4'],"['R64', 'r50']"
331155,Nocturnal enuresis,"['307.6', '788.3']","['F980', 'f90', 'R32', 'r30']"
331556,Enuresis,"['788.3', '307.6']","['F980', 'f90', 'R32', 'r30']"
331700,Bladder stone,"['594.0', '594.1', '594.2', '594.8', '594.9']","['N210', 'n20', 'N219', 'n20']"
332008,Alcoholic Korsakoff syndrome,"['291.1', '294.0']","['F106', 'f10']"
335058,Hypersensitivity,['995.3'],"['T784', 't66']"
335391,Kikuchi disease,['995.3'],"['T784', 't66']"
335623,Gilbert's syndrome,['277.4'],"['E804', 'e70']"
336866,Filariasis,"['125.0', '125.9']","['B74', 'b65']"
337378,Ganglion cyst,['727.4'],"['M674', 'm65']"
337453,Retrograde ejaculation,['608.8'],"['M674', 'm65']"
339633,Vaccinia,['051.0'],"['M674', 'm65']"
339761,Ovarian cyst,"['620.0', '620.2']","['N830', 'n80', 'N832', 'n80']"
344536,Hepatitis A,"['070.0', '070.1']","['B15', 'b15']"
350926,Retinitis pigmentosa,['362.7'],"['H355', 'h30']"
355776,Pellagra,['265.2'],"['E52', 'e50']"
356988,Pleural effusion,['511.9'],"['J90', 'j90', 'J91', 'j90']"
357810,Zollinger–Ellison syndrome,['251.5'],"['E164', 'e15']"
358490,Avoidant personality disorder,['301.8'],"['F606', 'f60']"
362417,Mal de debarquement,[],"['F606', 'f60']"
363709,Burkitt's lymphoma,['200.2'],"['C837', 'c81']"
363747,Long QT syndrome,['426.8'],"['I458', 'i30']"
365012,Encephalitis lethargica,['049.8'],"['A858', 'a80']"
366112,Chikungunya,"['065.4', '066.3']","['A920', 'a90']"
368300,Pulmonary heart disease,['415.0'],"['I26', 'i26', 'I27', 'i26']"
369730,Body dysmorphic disorder,['300.7'],"['F452', 'f40']"
377055,Frostbite,"['991.0', '991.3']","['T33', 't33', 'T35', 't33']"
377387,Immune thrombocytopenic purpura,['287.3'],"['D693', 'd65']"
378518,Cerebral edema,['348.5'],"['G936', 'g90']"
381345,Post-polio syndrome,['138'],"['G14', 'b90']"
382801,Glucose-6-phosphate dehydrogenase deficiency,['282.2'],"['D550', 'd55']"
383494,Hypospadias,['752.6'],"['Q54', 'q54']"
383531,Epispadias,['752.6'],"['Q640', 'q60']"
384849,Toxic shock syndrome,['040.8'],"['A483', 'a30']"
384999,Wolff–Parkinson–White syndrome,['426.7'],"['I456', 'i30']"
391997,Histoplasmosis,['115'],"['B39', 'b35']"
393023,Dandruff,['690.1'],[]
395221,Sebaceous hyperplasia,['706.9'],[]
395667,Pilonidal disease,['685'],"['L05', 'l00']"
397007,Squamous cell skin cancer,['199'],"['C44', 'c43']"
398940,Paresthesia,"['782.0', '355.1']","['R202', 'r20']"
398943,Abusive head trauma,['995.5'],['T74']
399231,Concussion,['850'],"['S060', 's00']"
399452,Limb-girdle muscular dystrophy,['359.1'],"['G710', 'g70']"
400993,Mastitis,['611.0'],"['N61', 'n60']"
402041,Chancroid,['099.0'],"['A57', 'a50']"
404088,Sick building syndrome,[],[]
404646,Far-sightedness,['367.0'],"['H520', 'h49']"
406602,Reye syndrome,['331.8'],"['G937', 'g90']"
407000,Weissenbacher–Zweymüller syndrome,['331.8'],"['G937', 'g90']"
410746,Dysautonomia,['337.9'],"['G90', 'g90']"
411018,Hepatitis E,['070.4'],"['B172', 'b15']"
411597,Balanitis,['607.1'],"['N481', 'n40']"
411682,Molluscum contagiosum,['078.0'],"['B081', 'b00']"
411687,Granuloma inguinale,['099.2'],"['A58', 'a50']"
411692,Myotonia,['359.2'],"['G711', 'g70']"
411811,Hypoactive sexual desire disorder,['302.7'],"['F520', 'f50']"
411879,Dysmenorrhea,['625.3'],"['N944', 'n80', 'N946', 'n80']"
412753,Allergic rhinitis,['477'],"['J30', 'j30']"
412768,Tinea cruris,['110.3'],"['B356', 'b35']"
412772,Lichen simplex chronicus,['698.3'],"['L280', 'l20']"
412786,Tinea versicolor,['111.0'],"['B360', 'b35']"
412796,Uterine cancer,[],[]
412809,Endometrial cancer,['182.0'],"['C541', 'c51']"
412822,Folliculitis,['704.8'],"['L739', 'l60', 'L73']"
414141,Sick sinus syndrome,['427.8'],"['I495', 'i49']"
414178,Renal cell carcinoma,['189.0'],"['C64', 'c64']"
414179,Kidney cancer,['189'],"['C640', 'C64', 'C660', 'C66']"
414186,Oral cancer,"['140', '146']","['C00', 'c00', 'C08', 'c00']"
414192,Ovarian cancer,"['183', '220']","['C56', 'c51']"
414280,Bad breath,['784.9'],"['R196', 'r10']"
416351,Retinoschisis,['361.1'],"['H331', 'h30']"
416948,Bartholin's cyst,['616.2'],"['N750', 'N70']"
419480,Brill–Zinsser disease,['616.2'],"['A751', 'a75']"
422525,Schmitt Gillenwater Kelly syndrome,['616.2'],"['A751', 'a75']"
422600,Patau syndrome,['758.1'],"['Q914', 'q90', 'Q917', 'q90']"
423910,Spinal muscular atrophies,['758.1'],"['G12', 'g10']"
424015,Asbestosis,['501'],"['J61', 'j60']"
424087,Sabinas brittle hair syndrome,['501'],"['J61', 'j60']"
424302,Itch,['698'],"['L29', 'l20']"
425881,Brucellosis,['023'],"['A23', 'a20']"
426404,Night terror,['307.4'],"['F514', 'f50']"
427217,Werner syndrome,['259.8'],"['E348', 'E34', '820']"
429542,Preterm birth,"['644', '765']","['O601', 'o60', 'P073', 'p05']"
431769,Nail disease,"['703', '757.5']","['L60', 'l60', 'Q843', 'q80', 'Q846', 'q80']"
435802,Edwards syndrome,['758.2'],"['Q910', 'q90', 'Q913', 'q90']"
436519,Cycloplegia,['367.5'],"['H525', 'h49']"
437063,Cinchonism,"['386.9', '961.4']","['T372', 't36']"
442863,Occipital horn syndrome,"['386.9', '961.4']","['E830', 'e83']"
443854,Rh disease,['773.0'],"['P550', 'p50']"
445761,Cyclopia,['759.8'],"['Q870', 'q80']"
448010,Septic shock,['785.5'],"['R572', 'a30']"
452461,Myocarditis,"['391.2', '422', '429.0']","['I090', 'i05', 'I514', 'i30']"
454231,Chronic lymphocytic leukemia,['204.1'],"['C911', 'c81']"
455905,Acrophobia,['300.2'],"['F402', 'f40']"
463223,Boutonneuse fever,['082.1'],"['A771', 'a75']"
464337,Retinoblastoma,['190.5'],"['C692', 'c69']"
465162,Retinopathy of prematurity,"['362.2', '362.2']","['H351', 'h30']"
465856,Primary aldosteronism,['255.1'],"['E260', 'e20']"
465863,Seborrhoeic dermatitis,['690.1'],"['L21', 'l20']"
470742,Keratitis,['370'],"['H16', 'h15']"
471444,Melioidosis,['025'],"['A241', 'a20', 'A244', 'a20']"
472537,Thrombotic thrombocytopenic purpura,['446.6'],"['M311', 'm30', 'M31', '110']"
475368,Polycythemia vera,['238.4'],"['D45', 'd37']"
477474,Bronchiolitis,['466.1'],"['J21', 'j20']"
477489,Human respiratory syncytial virus,['079.6'],"['B974', 'J121', 'J205', 'J210']"
477567,Uremia,"['585', '586', '788.9']","['N19', 'n17', 'R392', 'r30']"
482445,Acute respiratory distress syndrome,"['518.5', '518.8']","['J80', 'j80']"
485206,Proteus syndrome,"['518.5', '518.8']","['J80', 'j80']"
486429,Prosopagnosia,['368.1'],['R488']
488743,Carbon monoxide poisoning,['986'],['T58']
489157,Xanthoma,['272.2'],"['E782', 'e70', 'E78', '280', 'K134', 'k00']"
489173,Peripheral artery disease,['443.9'],"['I739', 'i70']"
490615,Hyper-IgD syndrome,['443.9'],"['I739', 'i70']"
491585,Acidosis,['276.2'],"['E872', 'e70']"
491591,Alkalosis,['276.3'],"['E873', 'e70']"
492052,Presbyopia,['367.4'],['H524']
493567,Epididymitis,['604'],"['N450', 'n40']"
496984,Castleman's disease,['785.6'],['D47']
497722,Hyperuricemia,['790.6'],"['E790', 'e70']"
497803,Hypercapnia,['786.0'],"['R068', 'r00']"
500475,Hypotension,"['458', '796.3']","['I95', 'i95']"
500892,Hypovolemia,['276.5'],"['E86', 'e70', 'R571', 'r50', 'T811', 't80']"
502447,Familial Mediterranean fever,['277.3'],"['E850', 'e70']"
504841,Osteoarthritis,['715'],"['M15', 'M19', 'M47', 'm45']"
512270,Hypocalcaemia,[],['E83']
512274,Hypercalcaemia,['275.4'],"['E835', 'e70']"
512310,Disorders of calcium metabolism,['275.4'],"['E835', 'e70']"
513039,Hypercholesterolemia,['272.0'],"['E780', 'e70']"
513054,Dyslipidemia,['272'],"['E78', 'e70']"
513180,Paroxysmal nocturnal hemoglobinuria,['283.2'],"['D595', 'd55']"
513240,Polycythemia,"['289.0', '776.4']","['D751', 'd70', 'P611', 'p50']"
515067,Galactosemia,['271.1'],"['E742', 'e70']"
515380,Thrombocytopenia,['287.5'],['D69']
515534,Injury,"['800', '999']","['S00', 'T88']"
515885,Haemophilia C,['286.2'],"['D681', 'd65']"
518665,Variegate porphyria,['277.1'],"['E802', 'e70', 'E80', '230']"
518666,Porphyria cutanea tarda,['277.1'],"['E801', 'e70']"
518667,Erythropoietic protoporphyria,['277.1'],"['E800', 'e70', 'E80', '010']"
522835,Naegleriasis,['136.2'],"['A066', 'a00', 'B602', 'b50']"
523195,Blue balls,['136.2'],[]
526073,Chilblains,['991.5'],"['T691', 't66']"
526094,Osteosclerosis,['756.5'],"['M858', 'm80', 'Q774', 'q65']"
526100,Osteopetrosis,['756.5'],"['Q782', 'q65']"
526664,Wernicke encephalopathy,['291.1'],['E512']
527756,Photophobia,['368.1'],"['H531', 'h53']"
529578,Transplant rejection,['368.1'],"['T86', 't80']"
530657,Cytokine release syndrome,['368.1'],"['T86', 't80']"
533143,Rhinitis,"['472.0', '477']","['J00', 'j00', 'J30', 'j30', 'J310', 'j30']"
537147,Central nervous system cavernous hemangioma,['228.0'],"['D18', 'd10', 'D18', '014']"
537792,Ketoacidosis,['228.0'],"['D18', 'd10', 'D18', '014']"
538993,Vitamin B12 deficiency anemia,['281.0'],"['D510', 'd50']"
539908,Spondyloarthropathy,"['720', '721', '722', '723', '724']","['M40', 'm40', 'M54', 'm50']"
540073,Hematochezia,['578.1'],"['M40', 'm40', 'M54', 'm50']"
540100,Upper gastrointestinal bleeding,['578.9'],"['K922', 'k90']"
542107,Schizotypal personality disorder,['301.2'],"['F21', 'f20']"
542776,Hemolytic-uremic syndrome,['283.1'],"['D593', 'd55']"
543406,Adenitis,['283.1'],"['D593', 'd55']"
544505,Mucopolysaccharidosis,['277.5'],"['E76', 'e70']"
544743,Wolfram syndrome,['277.5'],"['E76', 'e70']"
544943,Whipple's disease,['040.2'],"['K908', 'k90']"
545911,Mitral valve prolapse,"['394.0', '424.0']","['I341', 'i30']"
545918,Chest pain,['786.5'],"['R07', 'r00']"
545985,Osteomalacia,[],"['R07', 'r00']"
546881,Septic arthritis,['711.0'],"['M00', 'm00', 'M03', 'm00']"
548913,Adrenal insufficiency,['255.4'],"['E271', 'e20', 'E274', 'e20']"
549333,Iron overload,['275.0'],"['E831', 'E83']"
549725,Methylmalonic acidemia,['270.3'],"['E711', 'e70']"
549792,Propionic acidemia,['270.3'],"['E711', 'e70']"
549831,Hyperammonemia,['270.6'],"['E722', 'e70']"
549894,Wilms' tumor,['189.0'],"['C64', 'c64']"
552577,Medium-chain acyl-coenzyme A dehydrogenase deficiency,['277.8'],['E71311']
553927,Clubfoot,"['736.7', '754.5', '754.7']","['M215', 'm20', 'Q668', 'q65']"
555432,Cardiofaciocutaneous syndrome,"['736.7', '754.5', '754.7']","['Q878', 'q87']"
556521,Marasmus,['261'],"['E41', 'e40', 'E42', 'e40']"
558596,Leigh syndrome,['330.8'],"['G318', 'g30']"
558930,Macular edema,"['362.0', '362.5']","['H358', 'h30']"
559874,Chronic myelogenous leukemia,['205.1'],"['C921', 'c81']"
560154,Infective endocarditis,"['421.0', '421.1']","['I33', 'i30']"
563091,Granulocytosis,"['421.0', '421.1']","['I33', 'i30']"
563400,XY gonadal dysgenesis,['752.7'],"['Q564', 'q50']"
564432,Gaucher's disease,['272.7'],"['E752', 'e70', 'E75', '220']"
565896,Exploding head syndrome,[],['G47']
567589,Patent ductus arteriosus,['747.0'],"['Q250', 'q20']"
570153,Deep vein thrombosis,['453.4'],"['I802', 'i80']"
575888,Graft-versus-host disease,['279.5'],"['T860', 't80']"
578144,Hidradenitis suppurativa,['705.8'],"['L732', 'l60']"
580526,Lysosomal storage disease,['705.8'],"['E75', 'e70', 'E77', 'e70']"
581456,Strabismus,['378'],"['H49', 'h49', 'H50', 'h49']"
581459,Amblyopia,['368.0'],"['H530', 'h53']"
582968,Hematuria,"['599.7', '791.2']","['N02', 'n00', 'R31', 'r30']"
584854,Budd–Chiari syndrome,['453.0'],"['I820', 'i80']"
586404,Premenstrual dysphoric disorder,['311'],['F388']
593499,Rheumatism,['729.0'],"['M790', 'm70']"
593505,Psoriatic arthritis,['696.0'],"['L40', 'M07', 'M09']"
593703,Abdominal pain,['789.0'],"['R10', 'r10']"
595094,Osteomyelitis,['730'],"['M86', 'm86']"
595631,Dermoid cyst,[],['D27']
600045,Hyperventilation syndrome,['306.1'],['D27']
602466,Tuberous sclerosis,['759.5'],"['Q851', 'q80']"
604004,Tumors of the hematopoietic and lymphoid tissues,"['200', '209']","['C81', 'c81', 'C96', 'c81']"
604091,Arrhythmogenic right ventricular dysplasia,"['200', '209']","['I428', 'i30']"
606009,Hypertrophic cardiomyopathy,['425.1'],"['I421', 'i30', 'I422', 'i30']"
606011,Dilated cardiomyopathy,['425.4'],"['I420', 'i30']"
606659,Glucagonoma,"['157.4', '211.7']","['C254', 'c15']"
606777,Anal cancer,"['157.4', '211.7']","['C21', 'c15']"
607070,Viral hepatitis,['070'],"['B15', 'b15', 'B19', 'b15']"
607130,Constrictive pericarditis,['423.2'],"['I311', 'i30']"
608317,Peripheral neuropathy,"['356.0', '356.8']","['G64', 'g60', 'G900', 'g90']"
612032,Ichthyosis,['757.1'],"['Q80', 'q80']"
613318,Congenital insensitivity to pain,['757.1'],"['Q80', 'q80']"
613896,Myxedema,['244.9'],"['E039', 'e00']"
613992,Fabry disease,['272.7'],"['E752', 'e70', 'E75']"
615851,Frenulum breve,['607.8'],"['E752', 'e70', 'E75']"
616665,Waardenburg syndrome,['270.2'],"['E703', 'e70', 'E70']"
616967,Inflammatory bowel disease,['270.2'],"['E703', 'e70', 'E70']"
617526,Ichthyosis vulgaris,['757.1'],"['Q800', 'q80']"
617547,Lamellar ichthyosis,['757.1'],"['Q800', 'q80']"
617568,Epidermolytic hyperkeratosis,['757.1'],"['Q803', 'q80']"
618631,Low back pain,['724.2'],"['M545', 'm50']"
619071,Juvenile idiopathic arthritis,['714.3'],"['M080', 'm05']"
620879,Growth hormone deficiency,['253.3'],"['E230', 'e20']"
623034,Atrial flutter,['427.3'],"['I48', 'i30']"
624463,Dextrocardia,['746.8'],"['Q240', 'q20']"
626861,Situs inversus,['759.3'],"['Q893', 'q80']"
630635,Adenosine deaminase deficiency,['279.2'],"['D813', 'd80']"
633241,Silicosis,['502'],"['J62', 'j60']"
634542,Schmorl's nodes,['722.3'],"['M514', 'm50']"
636229,Kidney disease,['722.3'],"['N00', 'n00', 'N29', 'n29']"
637512,Nosebleed,['784.7'],"['R040', 'r00']"
637763,Third-degree atrioventricular block,['426.0'],"['I442', 'i30']"
638645,Short QT syndrome,['426.0'],"['R943', 'r94']"
640657,Chronic granulomatous disease,['288.1'],"['D71', 'd70']"
641177,Primary ciliary dyskinesia,['759.3'],"['J980', 'q80']"
641696,Generalized anxiety disorder,['300.0'],"['F411', 't66']"
642396,Dextro-Transposition of the great arteries,['745.1'],"['Q203', 'q20']"
645165,Cloacal exstrophy,[],['Q641']
645839,Glioma,['191'],"['C71', 'c69']"
646092,Mitral valve stenosis,"['394.0', '396.0', '746.5']","['I050', 'i05', 'I342', 'i30', 'Q232', 'q20']"
649760,Leptospirosis,['100'],"['A27', 'a20']"
650007,Paget's disease of bone,['731.0'],"['M88', 'm86']"
650825,Myoclonus,['333.2'],"['G253', 'g20']"
651370,Precocious puberty,['259.1'],"['E301', 'e20', 'E228', 'e20']"
651378,Delayed puberty,['259.0'],"['E300', 'e20']"
651743,Aortic insufficiency,"['395.1', '746.4']","['I06', 'i05', 'I35', 'i30', 'Q231', 'q20']"
652459,Hypertriglyceridemia,['272.1'],"['E781', 'e70', 'E782', 'e70', 'E783', 'e70']"
652505,Combined hyperlipidemia,['272.4'],"['E784', 'e70']"
653776,Writer's cramp,"['300.8', '333.8']","['F488', 'f40', 'G258', 'g20']"
653778,Dystonia,['333'],"['G249', 'g20']"
657779,Encephalomyelitis,['323'],"['G04', 'g00', 'G05', 'g00']"
660694,Autoimmune polyendocrine syndrome,['258.1'],"['E310', 'e20']"
662647,Homocystinuria,['270.4'],"['E721', 'e70']"
663200,Epidermolysis bullosa,['757.3'],"['Q81', 'q80']"
665829,First-degree atrioventricular block,['426.1'],"['I440', 'i30']"
666831,Trifascicular block,['426.5'],"['I453', 'i30']"
667428,Vasculitis,"['446', '447.6']","['I776', 'i70', 'I80', 'i80', 'L95', 'l80', 'M30', 'm30', 'M31', 'm30']"
667634,Atrial septal defect,"['745.5', '745.6']","['Q211', 'q20']"
667775,Ostium primum atrial septal defect,['745.6'],"['Q212', 'q20']"
669831,Microvascular angina,[],[]
672768,Heart block,['426.9'],"['I44', 'i30', 'I45']"
673555,Second-degree atrioventricular block,"['426.1', '426.1']","['I441', 'i30']"
674529,Pulmonary hypertension,"['416.0', '416.8']","['I270', 'i26', 'I272', 'i26']"
679350,Food allergy,[],"['T780', 't66']"
683468,Biliary atresia,['751.6'],"['Q442', 'q38']"
684079,Panniculitis,['729.3'],"['M793', 'm70']"
684786,Pericarditis,"['420.0', '420.9', '420.9', '420.9', '423.1', '423.2']","['I010', 'i00', 'I092', 'i05', 'I30', 'i30', 'I32', 'i30']"
684811,Hematoma,['729.9'],['M79']
685809,Lateral medullary syndrome,['729.9'],"['I663', 'G463', 'g40']"
685936,Torsades de pointes,['729.9'],"['I663', 'G463', 'g40']"
689982,Nightmare disorder,['307.4'],['F51']
692633,Contact dermatitis,['692.9'],"['L259', 'l20']"
694777,Pervasive developmental disorder not otherwise specified,"['299.9', '299.8']","['F849', 'f80']"
696132,Basal-cell carcinoma,['173'],"['F849', 'f80']"
697339,Primary biliary cholangitis,['571.6'],"['K743', 'k70']"
697890,Gestational diabetes,['648.8'],"['O24', 'o20']"
699676,Angiodysplasia,['569.8'],['K552']
702254,Esophageal varices,"['456.0', '456.2']","['I85', 'i80']"
702308,Hypoparathyroidism,['252.1'],"['E20', 'e20', 'E892', 'e70', 'P714', 'p70']"
703314,Hyperparathyroidism,['252.0'],"['E21', 'e20']"
707605,Medial medullary syndrome,['252.0'],"['G463', 'g40']"
707615,Portal hypertension,['572.3'],"['K766', 'k70']"
707785,Nasal polyp,['471'],"['J33', 'j30']"
709933,Craniodiaphyseal dysplasia,['471'],"['J33', 'j30']"
711521,Scrub typhus,['081.2'],"['A753', 'a75']"
711597,Pleural empyema,['510'],"['J86', 'j85']"
711932,Lipoid congenital adrenal hyperplasia,['510'],"['J86', 'j85']"
712326,Bursitis,['727.3'],"['M70', 'm70', 'M71', 'm70']"
712333,Carbuncle,['680.9'],"['L02', 'l00']"
712697,Pulmonary alveolar proteinosis,['516.0'],['J84']
714376,Ventricular tachycardia,['427.1'],"['I472', 'i30']"
714428,Acute kidney injury,['584'],"['N17', 'n17']"
714452,Chronic kidney disease,"['585.9', '585.1', '585.5', '403']","['N18', 'n00']"
715882,Congenital adrenal hyperplasia due to 11β-hydroxylase deficiency,"['585.9', '585.1', '585.5', '403']","['N18', 'n00']"
715895,Congenital adrenal hyperplasia due to 3β-hydroxysteroid dehydrogenase deficiency,['255.2'],"['E250', 'e20']"
715934,Snakebite,"['989.5', 'E905.0', 'E906.2']","['T630', 't51', 'T14', 'W59', 'X20']"
717845,Congenital adrenal hyperplasia due to 17α-hydroxylase deficiency,"['989.5', 'E905.0', 'E906.2']","['T630', 't51', 'T14', 'W59', 'X20']"
718521,Subarachnoid hemorrhage,"['430', '852.0', '852.1']","['I60', 'i60', 'P103', 'p10', 'S066', 's00']"
722421,Malignant hyperthermia,['995.8'],"['T883', 't80']"
724947,IgA nephropathy,['583.9'],"['N028', 'n02']"
725237,Mondor's disease,['451.8'],"['I808', 'i80', 'I80']"
726615,Paget's disease of the breast,['174'],"['C50', 'c50']"
727775,Cervical spine disorder,['174'],"['C50', 'c50']"
728628,Thymoma,"['164.0', '212.6']","['C37', 'c37', 'D150', 'd150']"
729500,Head and neck cancer,"['140', '149']","['C07', 'c00', 'C14', 'c00', 'C32', 'c30', 'C33', 'c30']"
729741,Acanthosis nigricans,['701.2'],"['L83', 'l80']"
729746,Alport syndrome,['759.8'],"['Q878', 'q80']"
729812,Amaurosis fugax,['362.3'],"['G453', 'g40']"
729899,Fructose malabsorption,['271'],"['E743', 'e70']"
730369,Argyll Robertson pupil,"['094.8', '379.4']","['A521', 'a50', 'H580', 'h55']"
730377,Baker's cyst,['727.5'],"['M712', 'm70']"
730983,Tumor lysis syndrome,"['277.8', '995.2']",['E88']
731319,Hereditary fructose intolerance,['271.2'],"['E741', 'e70']"
732148,Dupuytren's contracture,['728.6'],"['M720', 'm70']"
732188,Fitz-Hugh–Curtis syndrome,"['098.8', '099.5']","['M720', 'm70']"
732593,Janeway lesion,"['098.8', '099.5']","['M720', 'm70']"
732615,Kayser–Fleischer ring,['371.1'],"['H180', 'h15']"
732628,Klatskin tumor,['156.1'],"['C240', 'c15', 'C248', 'c15']"
734320,Subdural hematoma,"['852.2', '432.1']","['I620', 'i60', 'P100', 'p10', 'S065', 's00']"
738541,Pectus excavatum,['754.8'],"['Q676', 'q65']"
739855,Visual snow,[],['H53']
741847,Hyperkalemia,['276.7'],"['E875', 'e70']"
743429,Cryptococcosis,['117.5'],"['B45', 'b35']"
743629,Bleeding diathesis,['287.9'],"['D699', 'd65']"
744061,Coronary thrombosis,['414.8'],"['I240', 'i20']"
746673,Bicuspid aortic valve,['746.4'],"['I240', 'i20']"
746832,Thyroglossal cyst,['759.2'],"['Q892', 'q80']"
752476,Volkmann's contracture,['958.6'],"['T796', 't79']"
752895,Meckel's diverticulum,"['152.3', '751.0']","['C173', 'c15', 'Q430', 'q38']"
754641,Hypogonadism,['257.2'],"['E283', 'e28', 'E291', 'e29', 'E230', 'e23']"
754658,Hypopituitarism,"['253.7', '253.2']","['E230', 'e20', 'E893', 'e70']"
759166,Thoracic outlet syndrome,['353.0'],"['G540', 'g50']"
760897,Choanal atresia,['748.0'],"['Q300', 'q30']"
760903,Colles' fracture,['748.0'],"['S525', 's50']"
766202,Anisometropia,['367.3'],"['H523', 'h49']"
767067,Beckwith–Wiedemann syndrome,['759.8'],"['Q873', 'q80']"
767305,Chloracne,['759.8'],"['L708', 'l60']"
768604,Reflex syncope,[],"['R55', 'r50']"
769389,Niemann–Pick disease,['272.7'],"['E752', 'e70', 'E75', '230']"
769409,Sin Nombre virus,['079.8'],"['E752', 'e70', 'E75', '230']"
772026,Blepharitis,['373.0'],"['H010', 'h00']"
772724,Opioid use disorder,['304.0'],"['F11', 'f10']"
779059,Aortic aneurysm,['441'],"['I71', 'i70']"
780373,Leukocytosis,"['288.3', '288.6']","['D728', 'd70']"
780389,Thrombocythemia,['289.9'],"['D473', 'd75']"
783842,Photodermatitis,['692.7'],"['L578', 'l55']"
785061,Insulinoma,"['157.4', '211.7']","['C254', 'c15', 'D137', 'd10']"
789862,Infant respiratory distress syndrome,['769'],"['P22', 'p20']"
792524,Rosacea,['695.3'],"['L71', 'l60']"
793604,Aneurysm of sinus of Valsalva,['695.3'],"['Q254', 'q20', 'Q25']"
794008,Dry eye syndrome,['370.3'],"['H193', 'h15']"
794911,Central hypoventilation syndrome,['348.8'],"['G473', 'g40']"
794996,Granulomatosis with polyangiitis,['446.4'],"['M313', 'm30']"
797287,Henoch–Schönlein purpura,['287.0'],"['D690', 'd65', 'D69', '010']"
797862,Polyneuropathy,"['356.4', '357.1', '357.7']","['G60', 'g60', 'G64', 'g60']"
798889,Cerebellar hypoplasia,"['356.4', '357.1', '357.7']",['Q04']
799960,Kabuki syndrome,['759.8'],"['Q870', 'q87']"
802065,Congenital adrenal hyperplasia due to 21-hydroxylase deficiency,['255.2'],"['E250', 'e20']"
803607,Chorea,['333.5'],"['G255', 'g20']"
815783,Omphalocele,['756.7'],"['Q792', 'q65']"
816984,Retinal detachment,['361'],"['H33', 'h30']"
817107,Sanfilippo syndrome,['277.5'],"['E762', 'e70']"
820953,Malabsorption,['579'],"['K90', 'k90']"
837167,Acute lymphoblastic leukemia,['204.0'],"['C910', 'c81']"
838449,Atheroma,['440'],"['I709', 'i70']"
839943,Bone fracture,['829'],"['I709', 'i70']"
841093,Essential hypertension,[],[]
841096,Abdominal aortic aneurysm,"['441.3', '441.4']","['I713', 'i70', 'I714', 'i70']"
841098,Thoracic aortic aneurysm,"['441.1', '441.2']","['I711', 'i70', 'I712', 'i70']"
841502,Glanzmann's thrombasthenia,['287.1'],"['D691', 'd65']"
844668,Chalazion,['373.2'],"['H001', 'h00']"
850801,Fahr's syndrome,['373.2'],"['G238', 'g23']"
850969,Systemic inflammatory response syndrome,['995.9'],"['R65', 'r65']"
853501,Erythromelalgia,['443.8'],"['I738', 'i70']"
856149,Multiple organ dysfunction syndrome,['995.9'],['R65']
860894,Lev's disease,['426.0'],['R65']
861802,Multiple system atrophy,['333.0'],"['G903', 'g90']"
862281,Hyperhidrosis,['780.8'],"['R61', 'r50']"
862505,Infantile hemangioma,['228.0'],"['D180', 'd10', 'D18', '010']"
862681,Sheehan's syndrome,['253.2'],"['E230', 'e20']"
864489,Primary sclerosing cholangitis,['576.1'],"['K830', 'k80']"
865271,Liver disease,['576.1'],"['K830', 'k80']"
866988,Refractive error,"['367.0', '367.2', '367.9']","['H520', 'h49', 'H524', 'h49']"
868953,Congenital heart defect,"['745', '747']","['Q20', 'q20', 'Q26', 'q20']"
868997,Cyanotic heart defect,[],[]
869004,Ventricular septal defect,['745.4'],"['Q210', 'q20']"
869317,Renal agenesis,['753.0'],"['Q600', 'q60', 'Q602', 'q60']"
869496,Mitral insufficiency,"['394.1', '424.0', '746.6']","['I051', 'i05', 'I340', 'i30', 'Q233', 'q20']"
869927,MASA syndrome,"['394.1', '424.0', '746.6']","['I051', 'i05', 'I340', 'i30', 'Q233', 'q20']"
869937,Aagenaes syndrome,"['394.1', '424.0', '746.6']","['I051', 'i05', 'I340', 'i30', 'Q233', 'q20']"
877196,Psychosexual disorder,['302.7'],"['F668', 'f60', 'F669', 'f60']"
877316,Opsoclonus myoclonus syndrome,['379.5'],['H55']
877445,Adjustment disorder,['309'],"['F432', 'f40']"
877702,Supraventricular tachycardia,"['427.8', '427.0']","['I471', 'i30']"
878528,Aicardi syndrome,['742.2'],['Q040']
878898,Oral candidiasis,['112.0'],"['B370', 'b35']"
878905,Leukoplakia,['112.0'],"['B370', 'b35']"
880777,Conversion disorder,['300.1'],"['F44', 'f40']"
883645,Blastomycosis,['116.0'],"['B40', 'b35']"
883951,Mongolian spot,"['757.3', '757.3']","['D225', 'd10', 'D22', '505']"
885541,Campylobacteriosis,['008.4'],"['A045', 'a00']"
885739,Listeriosis,['027.0'],"['A32', 'a30']"
885886,Mirizzi's syndrome,['576.2'],"['A32', 'a30']"
888915,Hypnagogia,[],[]
